,img,category,title
0,1,anime,Death Note
1,0,anime,Code Geass: Hangyaku no Lelouch
2,1,anime,Sword Art Online
3,1,anime,Naruto
4,1,anime,L'Attaque des Titans
5,1,anime,Bleach
6,1,anime,Fullmetal Alchemist: Brotherhood
7,1,anime,Fullmetal Alchemist
8,1,anime,Elfen Lied
9,1,anime,Angel Beats!
10,1,anime,Clannad
11,1,anime,Toradora!
12,1,anime,Code Geass: Hangyaku no Lelouch R2
13,1,anime,Soul Eater
14,1,anime,Tengen Toppa Gurren Lagann
15,1,anime,Steins;Gate
16,1,anime,Naruto: Shippuuden
17,0,anime,Fairy Tail
18,1,anime,The Future Diary
19,1,anime,Durarara!!
20,0,anime,Highschool of the Dead
21,1,anime,Ao no Exorcist
22,1,anime,Suzumiya Haruhi no Yuuutsu
23,1,anime,Bakemonogatari
24,1,anime,Neon Genesis Evangelion
25,1,anime,Cowboy Bebop
26,1,anime,One Piece
27,1,anime,Ouran Koukou Host Club
28,1,anime,Darker than Black: Kuro no Keiyakusha
29,1,anime,Le Voyage de Chihiro
30,1,anime,Clannad: After Story
31,1,anime,Another
32,1,anime,Mahou Shoujo Madoka★Magica
33,1,anime,K-On!
34,1,anime,Black Butler
35,1,anime,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
36,1,anime,Guilty Crown
37,1,anime,Higurashi no Naku Koro ni
38,1,anime,Deadman Wonderland
39,1,anime,Fate/stay night
40,1,anime,Samurai Champloo
41,1,anime,Kaichou wa Maid-sama!
42,1,anime,KILL la KILL
43,1,anime,Dragon Ball Z
44,1,anime,Lucky☆Star
45,1,anime,Psycho-Pass
46,1,anime,Baccano!
47,1,anime,D.Gray-man
48,1,anime,Fate/Zero
49,1,anime,Zero no Tsukaima
50,1,anime,Claymore
51,1,anime,Hellsing
52,1,anime,Le Château ambulant
53,1,anime,Shakugan no Shana
54,1,anime,No Game No Life
55,1,anime,Vampire Knight
56,1,anime,Ore no Imouto ga Konnani Kawaii Wake ga Nai
57,1,anime,Spice & Wolf
58,1,anime,FLCL
59,1,anime,Princesse Mononoké
60,1,anime,Black Lagoon
61,1,anime,Chobits
62,0,anime,5 centimètres par seconde
63,1,anime,Chuunibyou demo Koi ga Shitai!
64,1,anime,Toaru Majutsu no Index
65,1,anime,Rosario to Vampire
66,0,anime,Hyouka
67,1,anime,Full Metal Panic!
68,1,anime,Dragon Ball
69,1,anime,Baka to Test to Shoukanjuu
70,1,anime,Higashi no Eden
71,1,anime,Trigun
72,1,anime,Gintama
73,1,anime,Kimi ni Todoke
74,1,anime,High School DxD
75,1,anime,Boku wa Tomodachi ga Sukunai
76,1,anime,Accel World
77,1,anime,NHK ni Youkoso!
78,1,anime,InuYasha
79,1,anime,School Days
80,1,anime,Hataraku Maou-sama!
81,1,anime,Toki wo Kakeru Shoujo
82,1,anime,Kami nomi zo Shiru Sekai (Que sa volonté soit faite)
83,1,anime,Tonari no Kaibutsu-kun
84,1,anime,Fruits Basket
85,1,anime,Is this a Zombie ?
86,1,anime,Sword Art Online II
87,1,anime,Sakurasou no Pet na Kanojo
